Sr. No., File Name, WebLinks,HTML Content,JS Content,parts,Vector,Label
53,0053.71bcb179e702d98e88fd0bc081ba0f52,0,0,0,6,-0.0001787429,0
54,0054.a6fa82d1b26c7772829e54ec41a1fbd3,0,0,0,6,5.4517375E-05,0
55,0055.b5509ace7ed62c900779c0c51cca92a3,0,0,0,6,0.000001298,0
56,0056.6ac9eb23e2ef6c7e7eabc3fb0ac3038a,0,0,0,6,-0.0002401647,0
57,0057.be5e34dcebd922928045634015e3ed78,0,0,0,6,0.000022414,0
58,0058.a7c28223050c35c3a22ac4e2b5969111,0,0,0,6,-0.0003726794,0
59,0059.b3b1b1d95976b70d9bbd6c39c6b8d5d2,0,0,0,6,-0.0001615147,0
60,0060.877bf70a297621b9dc3bab0095f95027,0,0,0,6,0.000004244,0
61,0061.20319a885b8cf6c88c8098eafd731396,0,0,0,6,0.0001782161,0
62,0062.b675bdb7b9e2321dfe97e48037fe7782,0,0,0,6,0.0001903728,0
63,0063.7823bd01e05ee0a1dda2f73f880838eb,0,0,0,6,-0.0002539412,0
64,0064.7160290efcb7320ac8852369a695bcaf,0,0,0,6,8.7723834E-05,0
65,0065.b72ddcc517cc317f3fc1e79c3feeca15,0,0,0,6,0.0002257725,0
66,0066.dcf72ba90be7570f2f7edab45b23ae36,0,0,0,6,-0.0001958236,0
67,0067.d77af11e9b2a74048c073462efecca12,0,0,0,6,0.0003318762,0
68,0068.f1c604a78739e4f966253d762c972dde,0,0,0,6,-0.0003886424,0
69,0069.7173de1d2da14306c5a20e8abda7a6e2,0,0,0,6,3.8027479E-06,0
70,0070.4f269f2d783b479971f31006fe17ce62,0,0,0,6,-7.340438E-05,0
71,0071.75403094cab986a246c1e7ce3460e827,0,0,0,6,-8.9365254E-05,0
72,0072.d1c080832388ae81835ca069e2efffa3,0,0,0,6,-2.5635918E-05,0
73,0073.cd29b8202a4b05db3c6f0d71b72a3260,0,0,0,6,7.094446E-05,0
74,0074.78000652dcb19856e85ff9637f0e52dd,0,0,0,6,-0.0004944705,0
75,0075.faa4a28fdd9a82edd6d35ebb6bae3085,0,0,0,6,-0.0001047984,0
76,0076.f565b68778786f9b9736f779489331f0,0,0,0,6,-0.0001825957,0
77,0077.dc5578862c0e716ee82e78b0dffbc8d2,0,0,0,6,0.000134301,0
78,0078.8481bc92aa3ab9d23ca30c0eaecfc5e4,0,0,0,6,-0.0003919952,0
79,0079.083beadce354774290a4a5bc4175366e,0,0,0,6,0.000007422,0
80,0080.7c3a836baaa732cd915546442c0fef1a,0,0,0,6,-8.00665E-05,0
81,0081.9d26c2d149545a1c5d23e2cd4dca1b5f,0,0,0,6,-2.0688547E-06,0
82,0082.7f7858a1a7360410ed120899504c3a25,0,0,0,6,-5.4113552E-05,0
83,0083.e506d3273b3dde9ae2d340cb0197a2a0,0,0,0,6,-7.3556614E-05,0
84,0084.e84ff95488fab22c26801bcd5bae337e,0,0,0,6,-5.2807696E-05,0
85,0085.1a80e2b1720bd5cbeb900554a5477d0b,0,0,0,6,-0.0001689319,0
86,0086.b96641b3e0a2cf8c238976336d45a86c,0,0,0,6,0.0002482089,0
87,0087.dd5f3aa35f50008bf7dfc5059ac8a239,0,0,0,6,-8.918206E-06,0
88,0088.43fa07c598e8b3d272a1a00705398e48,0,1,0,6,0.0001300241,0
89,0089.8b3fea141f5b2f2e5b66a9f12148b7d0,0,0,0,6,9.803234E-05,0
90,0090.314ec4268af7a3a1974d5eab84ea65af,0,0,0,6,-0.0001404267,0
91,0091.3bdd7b578973ee005733480a8b6c9b54,0,0,0,6,-2.3432121E-05,0
92,0092.a1560d2416687b2db8204c2fa69163f2,0,0,0,6,-0.0002607715,0
93,0093.0c71febfdf6f3acbc4d0c76b777a8530,0,0,0,6,-0.0004629777,0
94,0094.b7bf14fae9c31d0516cfe00dd9ab068d,0,0,0,6,0.0002839588,0
95,0095.b51416f612ac5737e0f4a5529ce453d1,0,0,0,6,-0.0005708738,0
96,0096.0446f3ed63b550a8622c8671d8ae9a9c,0,0,0,6,2.8661903E-05,0
97,0097.39badf2fea6bcebc640bea05ced59b59,0,0,0,6,0.000021007,0
98,0098.5053f669dda8f920e5300ed327cdd986,0,0,0,6,-0.0002250319,0
99,0099.9f54be08406e67fd8944f2f1d0fbdd90,0,0,0,6,8.476434E-05,0
100,0100.1728f45047ff2a1601d4e3ee91f26a00,0,0,0,6,-0.0002332201,0
101,0101.48557f7f38d947eab77aefc03d0520a3,0,0,0,6,0.0001218138,0
102,0102.ba8679813c4b5f424fb225f09b2fb1f2,0,0,0,6,-0.0004369087,0
103,0103.3fc5444196f4726ee138fbabc5086ea1,0,0,0,6,0.000107499,0
104,0104.cbb1681451b2525d7aeec9eeb285306d,0,0,0,6,-0.0001219161,0
105,0105.be508e1b909bae328d4a13fe898f60fb,0,0,0,6,-0.0001037455,0
106,0106.808c5e5ed0b801f667a34ead8221972e,0,0,0,6,1.2389567E-05,0
107,0107.2447a90f32ab7642ff8309d41c242db2,0,0,0,6,0.000025488,0
108,0108.e6e9cb097a3b5e37d94a7ff29bc4412a,0,0,0,6,-2.0135269E-05,0
109,0109.4ccc46c546b93015aafdfc40495f187d,0,0,0,6,-0.0001661768,0
110,0110.0bb9a36c3037be09867c0251e0fd6a3a,0,0,0,6,-0.0001882905,0
111,0111.e10679164e671fd9211c0303af7ee9f0,0,0,0,6,0.000134566,0
112,0112.b6c2ea75f9f7efcd3d0e4c43a751479c,0,0,0,6,-0.0001356951,0
113,0113.55a6bf6a4534d447af2060b174c0d70a,0,0,0,6,0.0001168257,0
114,0114.72c7d2d85d9d99ce3ce268d09147bdea,0,0,0,6,5.9270595E-05,0
115,0115.41825f367f7f1efcc31e12376d82a994,0,0,0,6,0.0001355977,0
116,0116.4cfce953cce07ef03a0cd55ca18053ba,0,0,0,6,0.0002454737,0
117,0117.fbc79c02a2c13d6c9b36f9ba38a09170,0,0,0,6,-0.000279419,0
118,0118.4ebb343d73a83dc935197850e507aad6,0,0,0,6,-4.9441314E-05,0
119,0119.98b90763eec7b4e91c06939eea2d2361,0,0,0,6,4.925151E-05,0
120,0120.27898b8f966a9c687b1f93fcba5afd43,0,0,0,6,-0.0002538717,0
121,0121.b475478456e52de66ef0b0fb501bbfd3,0,0,0,6,0.000057847,0
122,0122.4c48475d458bbca7a14270745e452dd7,0,0,0,6,-7.818368E-06,0
123,0123.32e1738c4171dd9d70b727fd7973a291,0,0,0,6,0.000067937,0
124,0124.2912ab5571d121e3b8c32c575b2526a9,0,0,0,6,-0.0003053379,0
125,0125.1ada59664dfcb7a5a31e9820f9604fea,0,0,0,6,0.0001249858,0
126,0126.fc7d58812b4c004ee457355c9baf2e1e,0,0,0,6,8.337828E-06,0
127,0127.2ac0e9f6527f224201604786789540b2,0,0,0,6,-0.0001229188,0
128,0128.f2500674ec39065ae8a1f643c7100a2b,0,0,0,6,-0.0002375206,0
129,0129.00f1783f1c15a77f1c5ec212f5bcf1d1,0,0,0,6,-0.0001602858,0
130,0130.6007e5b54c03026fd924cf2d6b0b4008,0,0,0,6,6.1316314E-05,0
131,0131.b715566061ab90d0f8745ce0ac010832,0,0,0,6,-3.5868812E-05,0
132,0132.bcd23223120c0be6b991ae0349cd127c,0,0,0,6,3.6515594E-05,0
133,0133.fe269b4e9538d5cb9907625c4b63dc2f,0,0,0,6,0.000279726,0
134,0134.56b4bed3bd3a696ab5b271a6e37fa005,0,0,0,6,-0.0002224906,0
135,0135.73f72161ad5758f0645151e87f5ff4b2,0,0,0,6,-0.000030142,0
136,0136.25b4244e9510e810f89f6570d476c0e8,0,0,0,6,-0.0001135441,0
137,0137.015cd0ece1324c5514e742e224a77213,0,0,0,6,-0.0004063941,0
138,0138.5bc0323b8aa075bd1e99610b50aa1150,0,0,0,6,-5.4971588E-05,0
139,0139.4a3f2cb7efe7318e1ed9b698d1d4a1db,0,0,0,6,-0.0001146566,0
140,0140.009d880f185eca560c8496da54b447ae,0,0,0,6,-8.011338E-05,0
141,0141.911fa855ce043ee41b450e6a1b0096d0,0,0,0,6,2.4487486E-05,0
142,0142.bcc958dabbad574174becaa16334a7e6,0,0,0,6,-0.0001527469,0
143,0143.20b19246597ddb47db7da83f7a140e73,0,0,0,6,1.9198125E-05,0
144,0144.150618690d46b8b2207c8a27ca5ab837,0,0,0,6,4.9511873E-05,0
145,0145.7400cf6ab4cfe5ffeaab582c9730c656,0,0,0,6,-0.0001200463,0
146,0146.2d301a1e07672538d669f5e571180d32,0,0,0,6,-7.746652E-05,0
147,0147.16b764c5bd3e419cc5b6d0145b2d8145,0,0,0,6,-0.0001290997,0
148,0148.565dd83aaebb66fe284de9342a6a5c09,0,0,0,6,-9.78382E-05,0
149,0149.d59bb0d23ca8ad3a87e549d3e6172f26,0,0,0,6,-2.7866183E-05,0
150,0150.69bb21344f49b27cec7373599b6e433d,0,0,0,6,-5.499969E-05,0
151,0151.4d1c8772327e44b20af6420e1d1c0a75,0,0,0,6,-0.0001166229,0
152,0152.10d3220188413990b1deb862c509c818,0,0,0,6,0.0001374541,0
153,0153.f78ed3d22e441ab7bd6d006323a83621,0,0,0,6,-1.9745647E-05,0
154,0154.9e065ee6214360e43b9873e39880159e,0,0,0,6,9.0156485E-05,0
155,0155.56e909508466675c86032e9f031cd09a,0,0,0,6,0.0002033599,0
156,0156.3d3293a5da919cf65959e6bd63feaf27,0,0,0,6,3.2525346E-05,0
157,0157.18c5e181c72acfc3a501a82907e58a59,0,0,0,6,0.000149905,0
158,0158.05f321b3cb42b6b62bc8a250a7bad59f,0,0,0,6,-0.000108972,0
159,0159.72f1a01f64bfa9e06b21c4e778e14cd2,0,0,0,6,-4.0667557E-05,0
160,0160.0040550972ece2c27ed01745f93b474b,0,0,0,6,6.0137154E-05,0
161,0161.5703ef6933a7f189ab48da12a925f5e4,0,0,0,6,-1.2135631E-05,0
162,0162.4eb119208c169c5da0dc13a875cdcb34,0,0,0,6,0.0002927746,0
163,0163.1aff5d9dc36e51a0b43f1c31c4d5b28c,0,0,0,6,4.777856E-05,0
164,0164.ae42a102de7318dc4876af403b6e5956,0,0,0,6,-0.0002168191,0
165,0165.60d0c03c63a588f58ca91b791610e43c,0,0,0,6,-0.0002312402,0
166,0166.f4acdf86d261b60094536bf5a654cc33,0,0,0,6,-5.0100392E-05,0
167,0167.13f1e71a8070d4d34e65ec7a25d9e164,0,0,0,6,-0.0001103405,0
168,0168.91cce4c84906ce507bd5e6362dd345c4,0,0,0,6,-5.77625E-05,0
169,0169.b19a689237947db7b9e244277e075edc,0,0,0,6,0.0002836194,0
170,0170.154c82ae0e1ccc4c9290aa1fa4de7b43,0,0,0,6,0.0002101252,0
171,0171.284f310dea6316d8971a18ff66a1a8dc,0,0,0,6,3.720638E-05,0
172,0172.464b84890a849676c036baccf0f2344e,0,0,0,6,0.0002467216,0
173,0173.3898127723ae4ac964f41c1a555c6ecb,0,0,0,6,-3.480822E-05,0
174,0174.a916896b6119d1b8a138dfbbeeee7fa1,0,0,0,6,4.8539117E-05,0
175,0175.dd1831e0f3322282d3efa5da7aec74f9,0,0,0,6,-0.0001874237,0
176,0176.bd5ef61e0c89ec035829f06f3fe5c7f8,0,0,0,6,-0.0002292118,0
177,0177.fd72517a2ed2a2c29c9822b7124a8f0a,0,0,0,6,0.0001239408,0
178,0178.8405bbe39a5eb6c1814e3c16602099a4,0,0,0,6,-2.8209563E-05,0
179,0179.dee566fc951284d1d3bd3a0fdae63f4d,0,0,0,6,-4.4818393E-05,0
180,0180.5790a5f746fbfb83381a28a45889fd6d,0,0,0,6,2.8269114E-05,0
181,0181.d16658bb110eb37495081efa07319db1,0,0,0,6,0.0002728996,0
182,0182.6a44fa290eebac4c52eb17292623b630,0,0,0,6,-5.0687373E-05,0
183,0183.fea0e7b48e16103e73462d5ee52b0d18,0,1,0,6,-0.000118301,0
184,0184.9006c74135af56c874879f0d45c1a689,0,0,0,6,-3.41137E-05,0
185,0185.2ed7f65beefa89e31abb4fbc75c18956,0,0,0,6,-0.0001312861,0
186,0186.5abf85594c3b8c40a105eed1154569ed,0,0,0,6,-0.0005828744,0
187,0187.3e01234a92697a2a414ed394ad7177ed,0,0,0,6,-7.9289384E-05,0
188,0188.a7f061d0c2c0395922993a874d534dcb,0,0,0,6,-0.0001255985,0
189,0189.01e4dc6ee1379e5ee100b4c33c9c3afd,0,0,0,6,-0.0001606992,0
190,0190.41da72c46bce52a15056a0171b56a917,0,0,0,6,-0.0001774218,0
191,0191.314e2f68086989044e631e347a03b979,0,0,0,6,-2.0799604E-05,0
192,0192.550b44c030296255a8b7ac293f296a01,0,0,0,6,0.0001934562,0
193,0193.74f52046990258e5eb60e561dcd8c2fd,0,0,0,6,-0.0003333798,0
194,0194.1f268aec480b5dcc15dcfd1b3ba5f005,0,0,0,6,4.0102594E-05,0
195,0195.9805aa7e0cec44d00677990ad4db450d,0,0,0,6,0.000033893,0
196,0196.0e960d0db312a26fade743e699ac5428,0,0,0,6,0.0001675238,0
197,0197.59ea60c031993abdccb762f9dbb35340,0,0,0,6,-2.5924308E-05,0
198,0198.62d2556d8ae158aa2b1410cb82bfff59,0,0,0,6,5.9232865E-05,0
199,0199.4596bad9aa0a3cba6d7c678253725f5e,0,0,0,6,-0.0001175616,0
200,0200.f2cdb426806f3a924340a62789b6add9,0,0,0,6,0.000082162,0
201,0201.9381ed9aa6cd60f2111acb409240a00b,0,0,0,6,-0.0001329547,0
202,0202.e1c7980f6c8a70122d80771533795cb7,0,0,0,6,-0.0001002251,0
203,0203.5f055220d95eaa1de71c7f24e004a7f5,0,0,0,6,-0.0001448544,0
204,0204.d0d4480181d7f3becf6f755de8a21019,0,0,0,6,-0.0001724046,0
205,0205.84f75723dcf7639ed057a32283048bdf,0,0,0,6,0.0001563601,0
206,0206.074e2d251c644abdbd8dab68d035e209,0,0,0,6,5.0189763E-05,0
207,0207.f7d2d40df256d6caea05314f5334a959,0,0,0,6,-0.0001187894,0
208,0208.0577aa26cbb2382d8789377d351ca8bf,48,0,0,6,3.421082E-05,0
209,0209.ce176e249d1b3d1bf97d02aaddb1ffd4,0,0,0,6,0.0002298342,0
210,0210.35f5f8aef973035bc4ec4ad13d717ebf,0,0,0,6,4.808755E-05,0
211,0211.abf5659ad8e94f01551b685061f06d94,0,0,0,6,-0.0001375032,0
212,0212.28ec74e3e60f9ea866ee8ef8e429254b,0,0,0,6,0.0002011508,0
213,0213.ee51a591f777be501b45101a6fe01776,0,0,0,6,0.0002515636,0
214,0214.2d5f01a083341062ac55f45a123f2dcd,0,0,0,6,-4.559906E-05,0
215,0215.201f7adff1b30b986939a5fa17a80a86,0,0,0,6,0.0001139702,0
216,0216.d46ac2cc3fa5d42e1a9b7d8b4339f789,0,0,0,6,-8.023811E-05,0
217,0217.36d91fd462703996ea8b15571a778f5b,0,0,0,6,9.529807E-05,0
218,0218.9fc48080321710ad8478e7c1c61e4bf0,0,0,0,6,7.0906724E-05,0
219,0219.c885fbe9fa7e255d6f589b373c8608e3,0,0,0,6,3.4873425E-05,0
220,0220.1cca495dc30f98fc43adb00683029dbf,0,0,0,6,-7.9808655E-05,0
221,0221.32f8ba14e3285ddafb44327f88a70aa5,0,0,0,6,0.0001164173,0
222,0222.160c5b2e2a80f71367b4d9a47f8f9d4e,0,0,0,6,-5.375614E-05,0
223,0223.a009cff7a913fae0e58d901e5e847a82,0,0,0,6,-0.0001020847,0
224,0224.17430432fb67f4f3278eac9cba4714aa,0,0,0,6,7.293211E-05,0
225,0225.80a615200726ed2da1bfd347dcfd648c,0,0,0,6,-4.8649945E-05,0
226,0226.aafb7854f8f17e90f7e5e5f99c54e76e,0,0,0,6,-0.000031559,0
227,0227.95301af4d5382e2029db75a4ecf7560f,0,0,0,6,0.0001133648,0
228,0228.b83f2f4ef114c69d9ca927d1082b393f,0,0,0,6,-6.4365595E-05,0
229,0229.49528f1403038d8d080420b023aa8d4f,0,0,0,6,-0.000164523,0
230,0230.a6e285288a40fccdbea8cf93de581ad2,0,0,0,6,9.360714E-05,0
231,0231.1bc071b16de2cc1e2adab334be65f7c6,0,0,0,6,-2.472138E-05,0
232,0232.12e1f1709e19a9dcd8a0bc051ceeb2c4,0,0,0,6,-0.0001565698,0
233,0233.8ee5f381dff013a0ccac9a01ac2d2976,0,0,0,6,0.0002713825,0
234,0234.4d23ca5049f3349529f5612ab5e2120d,0,0,0,6,0.0001917817,0
235,0235.3c824d680d31b3710d8f3475730dc42d,0,0,0,6,-5.305811E-05,0
236,0236.8af79b4e6416a984668d3f9c272a2822,0,0,0,6,-0.0001411959,0
237,0237.a21d745179e22d780194543b7ad765ec,0,0,0,6,0.0002133703,0
238,0238.7b9b9b2e3b3ca24ae8960f03aab57964,0,0,0,6,-6.0017926E-05,0
239,0239.58f51c99b02fc8b49664f15a855af780,0,0,0,6,-0.0001435336,0
240,0240.01e0e10c03592e64df9a077f2cd56aba,0,0,0,6,-5.8231184E-05,0
241,0241.f1989a8ee4ea188e90f3a5d4d40f4e36,0,0,0,6,0.0001223352,0
242,0242.a02f8a0ce9077130c10d33db2a16ec36,0,0,0,6,-0.0006506588,0
243,0243.7cc0334826a0571058dc604dce04c446,0,0,0,6,-9.3239774E-05,0
244,0244.82d1da61c4fd05691083eeb9886e0788,0,0,0,6,-0.0001028112,0
245,0245.39190ace43266b978a8561863c8841c0,0,0,0,6,-0.0001588325,0
246,0246.3422f94c01ebd283ffac23522268f3f8,0,0,0,6,-4.88417E-05,0
247,0247.98ed5d80f80da3915b5a1d10ee19c50a,0,0,0,6,-0.0001038171,0
248,0248.a7515095844cf4106ed86f1348b8c85d,0,0,0,6,-8.5550266E-05,0
249,0249.d591bcf606114a502b4d41e8f4dde95a,0,0,0,6,-0.0001996628,0
250,0250.21660c434f8535865d04d112f8105708,0,0,0,6,7.2330426E-05,0
251,0251.f9d83ac9ced9eab63df7da2bccb83bc8,0,0,0,6,-0.0002211548,0
252,0252.274e70cd31fb5c72b9e7aee909c53cb1,0,0,0,6,2.0085554E-05,0
253,0253.f8c6edd67ecdabe677a8f5cd082e3fc5,0,0,0,6,-0.0002314366,0
254,0254.d40c629a02c7361e674d0d96ca130fe0,0,0,0,6,6.5485125E-05,0
255,0255.98492176173fd6951086bb7af9e0008a,0,0,0,6,-0.000335626,0
256,0256.6162c21da16ce179d6ed0238a7413a8d,0,0,0,6,-9.7188466E-05,0
257,0257.d09e74208e9cb40c0eacbb77afa80e74,0,0,0,6,-0.0002280617,0
258,0258.f47b7f8872a17204171574c20fb546ab,0,0,0,6,0.000041722,0
259,0259.434a3208757e9738f7af6a004f42c5f1,0,0,0,6,-0.0001401108,0
260,0260.b68400a28ee29cb2f24149a03db1fd9e,0,0,0,6,2.6388308E-05,0
261,0261.45da0560dfe8183b3433e2cf2f3a7835,0,0,0,6,5.952723E-05,0
262,0262.4b1558b6e0d2e4edd9e8bed23afb9d40,0,0,0,6,-0.0001867097,0
263,0263.ffa4db454754b3c66fd025e92912941e,0,0,0,6,-0.0001595306,0
264,0264.a1183a59e4f0a71e80378d9404a3212f,0,0,0,6,-0.0005496437,0
265,0265.84c034d3d76a3d069732c02e1101fe23,0,0,0,6,-7.152882E-05,0
266,0266.387a672eb91910a913cde6ebdf33ef05,0,0,0,6,-0.00031175,0
267,0267.218a528c448166d39f853cf75d8890dd,0,0,0,6,6.6991626E-05,0
268,0268.77ef28e27a9ee085646f260418072111,0,0,0,6,7.300128E-05,0
269,0269.5a74b38284c7e9d85338eca0a25cb191,0,0,0,6,0.0001379968,0
270,0270.5a7d9b20e00fc24d6c929c198718f5a3,0,0,0,6,-0.0002766985,0
271,0271.349d737f101674586c61996593772a63,0,0,0,6,-6.4897205E-05,0
272,0272.c3e06e3aa72f63dee68faaed6fbaaa1a,0,0,0,6,2.5718911E-05,0
273,0273.b76b7b918548a82372b04341746503e7,0,0,0,6,-0.0002281532,0
274,0274.62155dd02f8719d2cfd0f76671549737,0,0,0,6,-6.380655E-05,0
275,0275.42292c1f2e4d6db665ed49a551960b3b,0,0,0,6,-0.0001483012,0
276,0276.394eddb373972d985cabf6f63953a3d0,0,0,0,6,-7.0494425E-05,0
277,0277.43d8f575fabb051cc7041c02c9f002a8,0,0,0,6,-0.0001123592,0
278,0278.11523c7a537578530720c5a697c916c7,0,0,0,6,-0.0001009028,0
279,0279.42cd63d15451f9b7dbe750ea896ed78b,0,0,0,6,-7.010492E-05,0
280,0280.6dca279b3e6aa252197d8439841032b4,0,0,0,6,0.0001413729,0
281,0281.b12d42ee9c0659d41d852c277bff8cde,0,0,0,6,-7.616664E-05,0
282,0282.fd87e7b9765004f6123ebe981bc16a1c,0,0,0,6,9.874906E-05,0
283,0283.469fc9946c6d920af042b022bd63a2f9,0,1,0,6,-3.3731332E-05,0
284,0284.4af1f0641ea6aae6a9645dcbeabe95e9,0,0,0,6,8.902262E-06,0
285,0285.c50f8a5a908e21636fe71e522c3e462a,0,0,0,6,0.0001451744,0
286,0286.25aefc468274fe144edb1ee788d6c999,0,0,0,6,0.0001277904,0
287,0287.18f9a821d67a503c0d54a2356a0f8a4a,0,0,0,6,-3.3602086E-05,0
288,0288.3ae040d2c993ea997470df41f31aebcb,0,0,0,6,-4.3358606E-05,0
289,0289.cb9c0595bddae2c25357ce5c9fbaf687,0,0,0,6,-0.0002359059,0
290,0290.3dc3f5442e351aea16d027b6c5a44e65,0,0,0,6,-0.0001238654,0
291,0291.b37f92cfbb14d2f6a43c705ef7381702,0,0,0,6,-7.3285904E-05,0
292,0292.6599ff4b0c1593297dd17247919b3fcf,0,0,0,6,-3.09109E-05,0
293,0293.24bc65777fdb12d17b16e3976c1f7c17,0,0,0,6,-1.8506267E-05,0
294,0294.145bbce5c541610ee520838637d2e112,0,0,0,6,-5.0290677E-05,0
295,0295.27b3176967da2ccf237679a15788d821,0,0,0,6,9.257087E-05,0
296,0296.42216a75e0256510b216eaba6893d40d,0,0,0,6,0.0004391149,0
297,0297.738b9e94deb4bf077221292f071de345,0,0,0,6,-0.0001490701,0
298,0298.fb2fe4458efbd24753b011bf6db2deab,0,0,0,6,0.0002787241,0
299,0299.4634eee63f5808c91c2f30720802a5c5,0,0,0,6,2.9294388E-05,0
300,0300.2e30b3bffb4f2887df203c197d11e936,0,0,0,6,-7.942836E-05,0
301,0301.a1d81dfa1becbc6fbf1cec39b45c2a05,0,0,0,6,-8.652347E-05,0
302,0302.fdd70fa4825d589e4646798a785f6902,0,0,0,6,0.000249719,0
303,0303.e334b6aaad7609a7613e33bb21cc9636,0,0,0,6,-0.000077761,0
304,0304.73bb5ec3f02f4db15750531e226b1cb8,0,0,0,6,-0.0001431269,0
305,0305.99f57ae578aceda0433b60cb35fd4ea2,0,0,0,6,0.000037491,0
306,0306.7e8d58915713dcad975ed5591b31bdf4,0,0,0,6,-0.0001543114,0
307,0307.d7beae100d2ee2557b7fed18b6050a49,0,0,0,6,5.8892507E-05,0
308,0308.5c3218cf2a6260c6178cbea1b9e345f7,0,0,0,6,-0.0001905874,0
309,0309.f8e4b246af5b6e995aef2cae7f325a1c,0,0,0,6,0.0002861797,0
